course number,name,units,schedule,professor
29290,Film 200 TBA-4,3.0,TBA,"DALENA, SARI RAISSA"
29291,Film 200 TBA-5,3.0,TBA,"DE GUZMAN, ANNE MARIE"
29292,Film 200 TBA-6,3.0,TBA,"DEOCAMPO, NICOLAS"
29293,Film 200 TBA-7,3.0,TBA,"JAMON, ROEHL"
29294,Film 200 TBA-8,3.0,TBA,"LEJANO, EDUARDO"
29295,Film 200 TBA-9,3.0,TBA,"ROWND, ROBERT"
27626,Film 201 HYZ,3.0,Th 4-7PM,"DE GUZMAN, ANNE MARIE"
27627,Film 201 WYZ,3.0,W 4-7PM,"ROWND, ROBERT"
27628,Film 203 TWX,3.0,T 1-4PM,"LEJANO, EDUARDO"
27637,Film 220 MYZ,3.0,M 4-7PM,TBA
27629,Film 225 HYX,3.0,Th 4-7PM,"ROWND, ROBERT"
27630,Film 230 TZZ,3.0,T 5:30-8:30PM,"JAMON, ROEHL"
27631,Film 270 TYZ,3.0,T 4-7PM,"BOLISAY, RICHARD"
27632,Film 281 TYZ,3.0,T 4-7PM,"ARUMPAC, ADJANI"
27639,"Film 297 FZZMoving Images, Identities and Ideas in Crucial Times",3.0,F 5:30-8:30PM,"BANAL, JASON"
27636,Film 297 WZZMoving Images in Crucial Times,3.0,W 5:30-8:30PM,"BANAL, JASON"
27643,Film 299 FWX,3.0,F 1-4PM,"BANAL, JASON"
27633,Film 299 HYZ,3.0,Th 4-7PM,"ARUMPAC, ADJANI"
21101,FLCD 101 WFI,3.0,WF 1-2:30PM,"CONSTANTINO, KATHLEEN KEISHA"
21102,FLCD 102 THIJ,4.0,TTh 1-3PM,"SAAMONG, CHARLA ROCHELLA"
21103,FLCD 102 WFCD,4.0,WF 9-11AM,"SANTOS, RAMON JERICHO"
21105,FLCD 124 THR,3.0,TTh 8:30-10AM,"NAVALES, MARIAN MICHELLE"
21104,FLCD 124 WFW,3.0,WF 1-2:30PM,"BARCENILLA, FRANCES THERESE"
21106,FLCD 127 THV,3.0,TTh 11:30AM-1PM,"LIM, LESTER JOHN"
21132,FLCD 127 WFV,3.0,WF 11:30AM-1PM,"FLORES, JOSEPHINE LOUISE"
21107,FLCD 128 THIJ,3.0,TTh 1-2PM lec TBA; TTh 2-3:30PM,"TAÑEDO, JODIE ROSE"
21108,FLCD 128 WFRU,3.0,WF 8:30-9:30AM lec TBA; WF 9:30-11AM,"FRANCISCO, FELICIE NICOLE"
21129,FLCD 132 THR,4.0,TTh 8:30-10AM,"UGADDAN, MIRIAM"
21109,FLCD 133 THR,3.0,TTh 8:30-10AM,"BAYTA, MARY ELAINE"
21110,FLCD 133 WFW,3.0,WF 1-2:30PM,"BELDA, EDGAR"
21111,FLCD 136 MEG-1,6.0,M 11:30AM-12:30PM,"MACLID, ERICKSON"
21113,FLCD 136 MEG-2,6.0,M 11:30AM-12:30PM,"DAEZ, JENNIFER ROXANNE"
21131,FLCD 174 MG,3.0,M 12-1PM,"EDJAN, SARAH"
21114,FLCD 174 MV,3.0,M 11:30AM-12:30PM,"EDJAN, SARAH"
21133,FLCD 175 WFBCDE,4.0,WF 8AM-12PM,"MACLID, ERICKSON; BAYTA, MARY ELAINE"
21130,FLCD 188 MCDE,3.0,M 9AM-12PM,"CONSTANTINO, KATHLEEN KEISHA"
21115,FLCD 200 SEDJAN,3.0,TBA,"EDJAN, SARAH"
21116,FLCD 201 MNOP,3.0,M 5-8PM,"TONGSON, EXCELSA"
21124,FLCD 203 WNOP,3.0,M 5-8PM,"SAAMONG, CHARLA ROCHELLA"
21117,FLCD 209 WNOP,3.0,W 5-8PM,"FLORES, JOSEPHINE LOUISE"
21118,FLCD 211 FNOP,3.0,F 5-8PM,"TONGSON, EXCELSA"
21134,FLCD 211 WNOP,3.0,W 5-8PM,"TONGSON, EXCELSA"
21125,FLCD 221 FNOP,3.0,F 5-8PM,"DALOOS, MA. LARA ANGELA"
21126,FLCD 225 TNOP,3.0,T 5-8PM,"UGADDAN, MIRIAM"
21127,FLCD 227 TNOP,3.0,T 5-8PM,"ROLDAN, AURORITA"
21128,FLCD 274 ML,3.0,M 4-5PM,"SAAMONG, CHARLA ROCHELLA; MACLID, ERICKSON"
21119,FLCD 299 THNOP,3.0,Th 5-8PM,"ROLDAN, AURORITA"
